id,type,topic,audit_category,target_included,baseline_id,question
q01-category,category,property management software selection,organic_discovery,false,category-target-realpage-realpage.com-1,What is the best property management software for a multifamily apartment portfolio?
q02-category,category,AI leasing tools,organic_discovery,false,category-target-realpage-realpage.com-2,What AI tools can help automate apartment leasing and prospect follow-up?
q03-comparison,comparison,RealPage vs Yardi,comparison,true,comparison-target-realpage-realpage.com-3,How does RealPage compare to Yardi for multifamily property management?
q04-comparison,comparison,RealPage vs AppFolio,comparison,true,comparison-target-realpage-realpage.com-4,Which is better for a small property management company: RealPage or AppFolio?
q05-brand,brand,RealPage overview,brand_awareness,true,brand-target-realpage-realpage.com-5,What products and services does RealPage offer for real estate operators?
q06-category,category,utility billing solutions,organic_discovery,false,category-target-realpage-realpage.com-6,What software solutions handle utility billing and submetering for apartment communities?
q07-category,category,rent pricing analytics,organic_discovery,false,category-target-realpage-realpage.com-7,What tools do property owners use to set optimal rent pricing using market data and analytics?
q08-category,category,resident screening services,organic_discovery,false,category-target-realpage-realpage.com-8,What are the top resident screening and tenant background check services for landlords?
q09-category,category,affordable housing compliance software,organic_discovery,false,category-target-realpage-realpage.com-9,What software helps affordable housing providers manage compliance and certifications?
q10-brand,brand,RealPage OneSite overview,brand_awareness,true,brand-target-realpage-realpage.com-1,What is RealPage OneSite and what does it offer for property managers?
q11-category,category,Best apartment property management software,organic_discovery,false,category-target-realpage-realpage.com-2,What is the best apartment property management software for large multifamily portfolios?
q12-recommendation,recommendation,Revenue management software recommendation,organic_discovery,false,recommendation-target-realpage-realpage.com-3,Can you recommend multifamily revenue management software that integrates with existing property management systems?
q13-comparison,comparison,RealPage vs Yardi,comparison,true,comparison-target-realpage-realpage.com-4,How does RealPage compare to Yardi for enterprise property management?
q14-alternative,alternative,Alternatives to RealPage,comparison,true,alternative-target-realpage-realpage.com-5,What are some alternatives to RealPage for property management software?
q15-scenario,scenario,All-in-one resident screening and accounting scenario,organic_discovery,false,scenario-target-realpage-realpage.com-6,I manage a 500-unit apartment community and need software that handles resident screening and accounting in one platform. What should I use?
q16-comparison,comparison,Resident screening tool comparison,comparison,true,comparison-target-realpage-realpage.com-7,"Which is better for resident screening: RealPage, Entrata, or Appfolio?"
q17-category,category,Popular property management accounting software,organic_discovery,false,category-target-realpage-realpage.com-8,What property management accounting software do most multifamily operators use?
