project,address,city,units,developer,stage,stage_date,expected_open,source_url
Haggard Farm (Phase 1),Spring Creek Parkway & Parkwood Boulevard,Plano,350,Stillwater Capital,groundbreaking,2025-12-11,2027-Q1,https://communityimpact.com/dallas-fort-worth/plano/development/2026/04/27/haggard-farm-development-going-vertical-in-coming-months/
Haggard Farm Townhomes (Phase 1),Spring Creek Parkway & Parkwood Boulevard,Plano,187,Stillwater Capital,groundbreaking,2025-12-11,2027-Q1,https://communityimpact.com/dallas-fort-worth/plano/development/2026/04/27/haggard-farm-development-going-vertical-in-coming-months/
Downtown Plano 360-Unit Project,"Municipal Avenue & 13th Street, southeast corner",Plano,360,Unknown,preliminary site plan approved,2026-07-01,2027-Q4,https://communityimpact.com/plano/government/plano-commission-approves-new-site-plan-for-360-apartment-project-in-downtown-plano/
Collin Creek Multifamily,811 N Central Expressway,Plano,"2300+",Centurion American,groundbreaking pending,2026-Q3/Q4,2027-10-30,https://www.tdlr.texas.gov/TABS/Search/Print/TABS2026003465
Heritage Creekside (multifamily component),Plano Parkway & Alma Drive,Plano,2000,Rosewood Property Co.,zoning approved,2026-03-02,2028-Q1,https://communityimpact.com/dallas-fort-worth/plano/government/2026/03/05/new-apartments-townhomes-get-green-light-from-plano-commission/
Preston Road Project,"North of Preston Road, 275 ft west of Ohio Drive",Plano,351,Unknown,under review,2026-07-02,2027-Q2,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
Spring Creek Project,"North of Spring Creek Parkway, 375 ft east of K Avenue",Plano,304,Unknown,under review,2026-07-02,2027-Q3,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
StreetLights Residential Tower,6501 Legacy Drive (former JCPenney HQ),Plano,261,StreetLights Residential,construction started,2026-06-01,2029-02-01,https://communityimpact.com/plano/development/work-on-22-story-high-rise-townhomes-to-start-in-june-at-former-plano-jcpenney-headquarters/
StreetLights Townhomes,6501 Legacy Drive (former JCPenney HQ),Plano,3,StreetLights Residential,construction started,2026-06-01,2029-02-01,https://communityimpact.com/plano/development/work-on-22-story-high-rise-townhomes-to-start-in-june-at-former-plano-jcpenney-headquarters/
110 E. Polk Street / Downtown Richardson,110 E. Polk Street,Richardson,281,High Street Residential & Tokyu Land Corp,groundbreaking,2026-04-06,2027-10-01,https://communityimpact.com/dallas-fort-worth/richardson/development/2026/04/10/developers-break-ground-on-281-unit-multifamily-community-in-richardson/
JLB West CityLine,3500 Routh Creek Parkway,Richardson,340,JLB Partners,under construction,2026-Q2,2027-06-01,https://www.zabalist.com/projects/TABS2025022864
The Glenville / Central Expressway,2520 North Central Expressway,Richardson,390,JLB Partners,zoning approved,2024-01-24,2027-Q2,https://communityimpact.com/dallas-fort-worth/richardson/government/2024/01/24/richardson-council-approves-390-unit-apartment-complex-construction
