rank,score,signal,detail,name,city,units,software,why,sources
1,100,Upcoming,Upcoming · zoning approved,Heritage Creekside (multifamily component),Plano,2000,not chosen yet,Zoning approved · 2000 units · opens 2028-Q1 · developer Rosewood Property Co. → software not chosen yet.,https://communityimpact.com/dallas-fort-worth/plano/government/2026/03/05/new-apartments-townhomes-get-green-light-from-plano-commission/
2,99,Upcoming,Upcoming · zoning approved,The Glenville / Central Expressway,Richardson,390,not chosen yet,Zoning approved · 390 units · opens 2027-Q2 · developer JLB Partners → software not chosen yet.,https://communityimpact.com/dallas-fort-worth/richardson/government/2024/01/24/richardson-council-approves-390-unit-apartment-complex-construction
3,96,Upcoming,Upcoming · preliminary site plan approved,Downtown Plano 360-Unit Project,Plano,360,not chosen yet,Preliminary site plan approved · 360 units · opens 2027-Q4 · developer Unknown → software not chosen yet.,https://communityimpact.com/plano/government/plano-commission-approves-new-site-plan-for-360-apartment-project-in-downtown-plano/
4,95,Upcoming,Upcoming · groundbreaking pending,Collin Creek Multifamily,Plano,2300,not chosen yet,Groundbreaking pending · 2300 units · opens 2027-10-30 · developer Centurion American → software not chosen yet.,https://www.tdlr.texas.gov/TABS/Search/Print/TABS2026003465
5,95,Upcoming,Upcoming · under review,Preston Road Project,Plano,351,not chosen yet,Under review · 351 units · opens 2027-Q2 · developer Unknown → software not chosen yet.,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
6,90,Sold,Sold · Jun 2026,Vantage At Spring Creek,Richardson,420,not checked,Sold Jun 2026 to Trea Routh Creek Tx Owner Lp · 420 units · software: not checked → new owner may re-pick software.,county record (Collin CAD 2026)
7,90,Upcoming,Upcoming · under review,Spring Creek Project,Plano,304,not chosen yet,Under review · 304 units · opens 2027-Q3 · developer Unknown → software not chosen yet.,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
8,87,Sold,Sold · Jul 2026,Ellington,Plano,266,not checked,Sold Jul 2026 to S2 Preston Park Lp · 266 units · software: not checked → new owner may re-pick software.,county record (Collin CAD 2026)
9,85,Upcoming,Upcoming · groundbreaking,Haggard Farm (Phase 1),Plano,350,not chosen yet,Groundbreaking · 350 units · opens 2027-Q1 · developer Stillwater Capital → software not chosen yet.,https://communityimpact.com/dallas-fort-worth/plano/development/2026/04/27/haggard-farm-development-going-vertical-in-coming-months/
10,83,Sold,Sold · Jun 2026,Hathaway At Willow Bend,Plano,229,not checked,Sold Jun 2026 to Winston Gt Holdings Lp & · 229 units · software: not checked → new owner may re-pick software.,county record (Collin CAD 2026)
11,79,Upcoming,Upcoming · under construction,JLB West CityLine,Richardson,340,not chosen yet,Under construction · 340 units · opens 2027-06-01 · developer JLB Partners → software not chosen yet.,https://www.zabalist.com/projects/TABS2025022864
12,78,Sold,Sold · Jul 2026,Orchards Market Plaza Senior Apts,Plano,178,not checked,Sold Jul 2026 to Csh Plano Act Llc · 178 units · software: not checked → new owner may re-pick software.,county record (Collin CAD 2026)
13,78,Upcoming,Upcoming · groundbreaking,110 E. Polk Street / Downtown Richardson,Richardson,281,not chosen yet,Groundbreaking · 281 units · opens 2027-10-01 · developer High Street Residential & Tokyu Land Corp → software not chosen yet.,https://communityimpact.com/dallas-fort-worth/richardson/development/2026/04/10/developers-break-ground-on-281-unit-multifamily-community-in-richardson/
14,76,Upcoming,Upcoming · construction started,StreetLights Residential Tower,Plano,261,not chosen yet,Construction started · 261 units · opens 2029-02-01 · developer StreetLights Residential → software not chosen yet.,https://communityimpact.com/plano/development/work-on-22-story-high-rise-townhomes-to-start-in-june-at-former-plano-jcpenney-headquarters/
15,72,Sold,Sold · Mar 2026,Park Residences Plano,Plano,318,not checked,Sold Mar 2026 to Park Residences Plano West Llc · 318 units · software: not checked → new owner may re-pick software.,county record (Collin CAD 2026)
16,69,Upcoming,Upcoming · groundbreaking,Haggard Farm Townhomes (Phase 1),Plano,187,not chosen yet,Groundbreaking · 187 units · opens 2027-Q1 · developer Stillwater Capital → software not chosen yet.,https://communityimpact.com/dallas-fort-worth/plano/development/2026/04/27/haggard-farm-development-going-vertical-in-coming-months/
17,65,Sold,Sold · Sep 2025,Legends At Chase Oaks Apartments,Plano,346,Yardi,Sold Sep 2025 to 701 Legacy Drive Spe Llc & · 346 units · software: Yardi → new owner may re-pick software.,county record (Collin CAD 2026)
18,65,Sold,Sold · Dec 2025,Axis 110,Richardson,351,Yardi,Sold Dec 2025 to Areit Dallas Cityline Llc · 351 units · software: Yardi → new owner may re-pick software.,county record (Collin CAD 2026)
19,57,Sold,Sold · Sep 2025,Overture Plano Senior Apartments,Plano,168,not checked,Sold Sep 2025 to Dhc Hyb Slc Properties Llc · 168 units · software: not checked → new owner may re-pick software.,county record (Collin CAD 2026)
