project_id,project,address,city,units,developer,stage,stage_date,expected_open,source_type,source_url,first_seen
plano-haggard-farm-townhomes,Haggard Farm Townhomes,,Plano,,,zoning-filed,2026-06-08,,legistar,https://plano.legistar.com/LegislationDetail.aspx?ID=1540,2026-09-10
plano-haggard-farm,Haggard Farm,"Spring Creek Parkway and Parkwood Boulevard, Plano, TX 75024",Plano,,Stillwater Capital,under-construction,2025-12-11,2027-10-01,news,https://communityimpact.com/plano/development/haggard-farm-development-going-vertical-in-coming-months/,2026-09-10
plano-collin-creek-multifamily,Collin Creek Multifamily,"811 N Central Expressway, Plano, TX 75075",Plano,,Centurion American,permit,2026-06-19,2027-07-30,tabs,https://www.zabalist.com/projects/TABS2026023342,2026-09-10
plano-the-parks-at-legacy-west,The Parks at Legacy West,"6501 Legacy Drive, Plano, TX",Plano,261,StreetLights Residential,under-construction,2026-07-10,2029-02-01,news,https://candysdirt.com/2026/07/10/streetlights-residential-bets-on-older-affluent-renters-with-new-plano-luxury-tower/,2026-09-10
plano-the-buckley,The Buckley,"600 Kissimmee Drive, Plano, TX",Plano,338,Rosewood Property Company,leasing,2026-04-01,,news,https://candysdirt.com/2026/08/07/the-buckley-adds-338-apartments-to-planos-reworked-heritage-creekside/,2026-09-10
plano-aura-northline,Aura Northline,"J Place, Plano, TX (north side of Bush Turnpike)",Plano,325,Trinsic Residential Group,under-construction,2024-02-12,,news,https://www.dallasnews.com/business/real-estate/2024/02/12/developer-hops-aboard-darts-new-silver-line-with-apartment-project/,2026-09-10
plano-360-unit-project-in-downtown-plano,360-unit project in downtown Plano,,Plano,360,,site-plan-approved,,,news,https://communityimpact.com/plano/government/plano-commission-approves-new-site-plan-for-360-apartment-project-in-downtown-plano/,2026-09-10
richardson-polk-st-multifamily,Polk St Multifamily,"110 E. Polk Street, Richardson, TX 75081",Richardson,281,High Street Residential,under-construction,2026-04-06,2027-10-01,news,https://communityimpact.com/richardson/development/developers-break-ground-on-281-unit-multifamily-community-in-richardson/,2026-09-10
richardson-legacy-arapaho,Legacy Arapaho,"250 E Arapaho Road, Richardson, TX 75081",Richardson,443,Legacy Partners,permit,2026-06-15,2028-11-01,news,https://communityimpact.com/richardson/government/443-unit-apartment-complex-approved-by-richardson-city-council/,2026-09-10
richardson-jlb-west-cityline,JLB West Cityline,"3500 Routh Creek Pkwy, Richardson, TX 75082",Richardson,,JLB Partners,permit,,2027-06-30,tabs,https://www.zabalist.com/projects/TABS2025022864,2026-09-10
richardson-the-caroline-eastside,The Caroline Eastside,"1735 N. Greenville Ave, Richardson, TX",Richardson,384,Hunt,under-construction,,,news,https://communityimpact.com/richardson/development/eastside-apartment-expansion-underway-in-richardson/,2026-09-10
richardson-apartment-complex-on-sherman-street,Apartment complex on Sherman Street,"Sherman Street, Richardson, TX",Richardson,,,zoning-approved,,,news,https://communityimpact.com/richardson/housing-real-estate/richardson-city-council-approves-apartment-complex-on-sherman-street/,2026-09-10
